SK_ID_CURR,cluster_FullData,cluster_SocioDemo,TARGET,model_predict_proba,model_predict_class
352574,clust_9,clust_4,0.0,0.15985062986861764,0.0
455099,clust_3,clust_8,0.0,0.03165696282086931,0.0
126710,clust_9,clust_4,0.0,0.5491023289667035,1.0
102608,clust_9,clust_4,1.0,0.23873666840033944,1.0
262393,clust_2,clust_5,0.0,0.0493293529253162,0.0
363856,clust_9,clust_7,0.0,0.0650200270140013,0.0
280108,clust_7,clust_9,0.0,0.2436482791336953,1.0
226674,clust_9,clust_0,0.0,0.022649497316060623,0.0
363122,clust_3,clust_5,0.0,0.16206491094273923,1.0
247564,clust_6,clust_9,1.0,0.10891487899878945,0.0
229901,clust_9,clust_6,0.0,0.051270617271229744,0.0
422299,clust_6,clust_9,0.0,0.20578854668443775,1.0
423452,clust_9,clust_4,0.0,0.04328649862278016,0.0
171893,clust_3,clust_7,0.0,0.07467360540926873,0.0
161909,clust_9,clust_8,0.0,0.061575521322175565,0.0
122878,clust_9,clust_4,0.0,0.05757217608397502,0.0
208766,clust_5,clust_1,0.0,0.014376343149691224,0.0
264483,clust_9,clust_4,0.0,0.25924160418866765,1.0
153846,clust_2,clust_1,0.0,0.036234500857411055,0.0
352512,clust_9,clust_1,0.0,0.00985444104028076,0.0
249876,clust_9,clust_1,0.0,0.018687059731129635,0.0
216037,clust_9,clust_9,0.0,0.16815618774917657,1.0
299402,clust_5,clust_9,0.0,0.02289159002405606,0.0
130020,clust_9,clust_2,0.0,0.10924171557728189,0.0
390272,clust_9,clust_4,0.0,0.02678187078834031,0.0
283439,clust_9,clust_4,1.0,0.8007446321230782,1.0
330466,clust_9,clust_8,1.0,0.2996075695783054,1.0
195646,clust_9,clust_0,0.0,0.012731363044038326,0.0
209903,clust_9,clust_9,0.0,0.038023246644917595,0.0
437069,clust_7,clust_7,0.0,0.060926071941705455,0.0
419234,clust_9,clust_8,0.0,0.10564078789304178,0.0
326124,clust_9,clust_4,0.0,0.0200072182891746,0.0
408873,clust_9,clust_4,0.0,0.0953163487908848,0.0
194270,clust_7,clust_4,0.0,0.045281284628531204,0.0
347874,clust_9,clust_2,0.0,0.08595801410079439,0.0
210536,clust_9,clust_7,1.0,0.08137999232746557,0.0
292263,clust_9,clust_7,0.0,0.2960650329389422,1.0
248219,clust_9,clust_9,0.0,0.01786564977667621,0.0
174100,clust_7,clust_9,0.0,0.09411957521792919,0.0
432874,clust_8,clust_7,0.0,0.08788113554272994,0.0
203826,clust_9,clust_0,0.0,0.05541165777700898,0.0
145912,clust_9,clust_7,0.0,0.011703936277824524,0.0
161880,clust_9,clust_0,0.0,0.036308380677510625,0.0
375240,clust_9,clust_9,0.0,0.0876719541608537,0.0
104060,clust_9,clust_5,0.0,0.08834454350693231,0.0
101975,clust_2,clust_9,0.0,0.0645320420893209,0.0
109859,clust_2,clust_8,0.0,0.07935549188409195,0.0
319826,clust_9,clust_0,0.0,0.129576302438855,0.0
293848,clust_7,clust_8,0.0,0.25676223521553376,1.0
449062,clust_7,clust_8,0.0,0.1231959883758908,0.0
266950,clust_5,clust_2,0.0,0.020119643947483012,0.0
353098,clust_9,clust_0,0.0,0.05431825744426146,0.0
142043,clust_9,clust_0,0.0,0.010171379033730787,0.0
235439,clust_9,clust_0,0.0,0.024739128658332006,0.0
223696,clust_2,clust_7,0.0,0.021211250124601063,0.0
222069,clust_7,clust_8,0.0,0.2108086801746074,1.0
155896,clust_9,clust_9,0.0,0.03506655161093488,0.0
419094,clust_9,clust_9,0.0,0.6009208290331752,1.0
287191,clust_7,clust_2,0.0,0.05063948481082097,0.0
113709,clust_2,clust_2,0.0,0.09159242863745323,0.0
447673,clust_9,clust_5,0.0,0.14516852327313756,0.0
446746,clust_9,clust_7,0.0,0.022352212486810664,0.0
363897,clust_9,clust_5,0.0,0.08482742533245671,0.0
149455,clust_7,clust_9,0.0,0.17299012666293404,1.0
199807,clust_9,clust_2,1.0,0.5888021484970781,1.0
123048,clust_9,clust_7,0.0,0.012986697062771432,0.0
157087,clust_9,clust_8,1.0,0.13161030346626748,0.0
221838,clust_9,clust_9,0.0,0.05823646792244235,0.0
409379,clust_9,clust_0,0.0,0.08604987983472714,0.0
157818,clust_7,clust_4,0.0,0.1362105960980982,0.0
266394,clust_9,clust_2,0.0,0.07383733197113174,0.0
437340,clust_9,clust_7,0.0,0.28743236252895293,1.0
141379,clust_3,clust_8,0.0,0.02327749110746517,0.0
171643,clust_2,clust_2,0.0,0.03888541968882294,0.0
130696,clust_9,clust_4,0.0,0.045039699465422314,0.0
254427,clust_7,clust_5,0.0,0.03833275791499645,0.0
153511,clust_2,clust_2,0.0,0.24012264507472755,1.0
311478,clust_9,clust_2,0.0,0.2861955048615356,1.0
196113,clust_9,clust_2,0.0,0.018526355045346145,0.0
159820,clust_4,clust_2,1.0,0.5338125206007868,1.0
417034,clust_7,clust_4,0.0,0.3927275309679498,1.0
272134,clust_9,clust_4,1.0,0.49606555382545325,1.0
363279,clust_9,clust_2,0.0,0.2243771659168079,1.0
322218,clust_9,clust_9,0.0,0.43952934319644477,1.0
251148,clust_2,clust_7,0.0,0.014786498430794867,0.0
294517,clust_7,clust_2,0.0,0.03459031878598421,0.0
255189,clust_7,clust_0,0.0,0.03366085361381331,0.0
241307,clust_2,clust_2,0.0,0.07613005506961891,0.0
442581,clust_2,clust_9,0.0,0.07799953859653246,0.0
153288,clust_8,clust_2,1.0,0.411164459715222,1.0
167858,clust_9,clust_4,0.0,0.04235256166354221,0.0
257587,clust_7,clust_7,0.0,0.08423498945006577,0.0
430506,clust_9,clust_5,0.0,0.07074467103541522,0.0
294892,clust_9,clust_9,0.0,0.15382169342334184,0.0
433106,clust_9,clust_4,0.0,0.011162488431175614,0.0
409440,clust_9,clust_0,0.0,0.020147847445026613,0.0
376955,clust_0,clust_7,0.0,0.04093737435972367,0.0
293739,clust_9,clust_9,0.0,0.04269662444264707,0.0
307624,clust_9,clust_3,0.0,0.10212953326542737,0.0
439654,clust_9,clust_8,0.0,0.03879589824035709,0.0
322805,clust_9,clust_1,0.0,0.016063831784633012,0.0
167693,clust_3,clust_0,0.0,0.031209889507265914,0.0
244293,clust_2,clust_1,0.0,0.03519591506169483,0.0
208984,clust_7,clust_9,0.0,0.03592567135911616,0.0
286486,clust_9,clust_7,0.0,0.020399348385484743,0.0
405608,clust_9,clust_2,0.0,0.13493886323251494,0.0
368934,clust_4,clust_5,0.0,0.06684424232666074,0.0
409136,clust_9,clust_1,0.0,0.09411731639995488,0.0
393932,clust_9,clust_6,0.0,0.056146346488322764,0.0
305161,clust_2,clust_7,0.0,0.050844061470334115,0.0
143478,clust_9,clust_0,0.0,0.2669013931022737,1.0
410002,clust_2,clust_0,0.0,0.0327423927941152,0.0
214868,clust_9,clust_2,0.0,0.018102901790538455,0.0
439215,clust_7,clust_9,0.0,0.020089421645732602,0.0
137275,clust_2,clust_0,0.0,0.1732349415347765,1.0
139129,clust_9,clust_8,1.0,0.5129151526460438,1.0
350567,clust_9,clust_5,0.0,0.026403620628781443,0.0
314618,clust_9,clust_8,0.0,0.12130504171566132,0.0
425067,clust_0,clust_2,0.0,0.04237787635852577,0.0
144472,clust_9,clust_5,0.0,0.1436083597626952,0.0
132116,clust_9,clust_0,0.0,0.5804623833034606,1.0
389753,clust_9,clust_9,0.0,0.04006392755572358,0.0
294202,clust_7,clust_9,0.0,0.07805643182263935,0.0
302838,clust_9,clust_0,1.0,0.056595395502093734,0.0
114580,clust_7,clust_4,1.0,0.5097564983661724,1.0
453231,clust_9,clust_2,0.0,0.266439566722545,1.0
398745,clust_9,clust_2,0.0,0.03862835001748515,0.0
232213,clust_9,clust_4,0.0,0.21006008268843465,1.0
150220,clust_9,clust_0,0.0,0.30155269792970313,1.0
104316,clust_9,clust_8,0.0,0.09771130943027234,0.0
403854,clust_5,clust_9,0.0,0.04586794126344441,0.0
152582,clust_9,clust_9,0.0,0.1418782730610049,0.0
142007,clust_9,clust_4,0.0,0.14044590052853526,0.0
394683,clust_9,clust_6,0.0,0.07035386584980562,0.0
242184,clust_7,clust_0,0.0,0.49834305579699556,1.0
281562,clust_9,clust_0,0.0,0.033253984267088296,0.0
173700,clust_9,clust_9,0.0,0.054753494183520254,0.0
411982,clust_2,clust_0,0.0,0.3995043943133343,1.0
218943,clust_9,clust_7,0.0,0.12382966832702332,0.0
451026,clust_8,clust_0,0.0,0.23789957963350455,1.0
440343,clust_9,clust_0,0.0,0.3652812562559561,1.0
226830,clust_9,clust_2,0.0,0.031080930887319464,0.0
359479,clust_7,clust_7,0.0,0.227600084632938,1.0
149306,clust_7,clust_2,0.0,0.575510232215193,1.0
227434,clust_7,clust_8,0.0,0.09697525150754316,0.0
114287,clust_9,clust_4,0.0,0.05317647235872201,0.0
104908,clust_9,clust_4,0.0,0.04675572569660121,0.0
267213,clust_7,clust_4,0.0,0.19217041164640708,1.0
403295,clust_9,clust_4,0.0,0.2108407837500391,1.0
380716,clust_9,clust_8,0.0,0.08258685299817317,0.0
123702,clust_9,clust_5,0.0,0.06581951531252024,0.0
253092,clust_7,clust_1,0.0,0.1324972674505961,0.0
106772,clust_9,clust_7,0.0,0.015787395570002832,0.0
137484,clust_7,clust_8,0.0,0.23761158227977597,1.0
167985,clust_9,clust_9,0.0,0.3327323258762285,1.0
238661,clust_9,clust_7,0.0,0.034890593842045695,0.0
352320,clust_9,clust_0,0.0,0.02677728918752049,0.0
386437,clust_9,clust_5,0.0,0.02782195931708582,0.0
181348,clust_9,clust_8,0.0,0.0378354799517807,0.0
349231,clust_9,clust_2,0.0,0.29287851261355424,1.0
136954,clust_9,clust_2,0.0,0.010973819977942098,0.0
365568,clust_2,clust_0,0.0,0.23258722334805704,1.0
292620,clust_9,clust_2,0.0,0.07501479790696071,0.0
149636,clust_7,clust_5,0.0,0.017950221724885713,0.0
121905,clust_7,clust_2,0.0,0.18078099528332123,1.0
172349,clust_9,clust_6,0.0,0.08689930886382817,0.0
364015,clust_5,clust_1,0.0,0.02347289222413312,0.0
404182,clust_7,clust_2,0.0,0.049406332657571196,0.0
210077,clust_3,clust_8,0.0,0.027176595693300467,0.0
166674,clust_2,clust_1,0.0,0.37496193037024605,1.0
250597,clust_3,clust_2,0.0,0.09294718430461195,0.0
204186,clust_3,clust_7,0.0,0.12982477108544863,0.0
294167,clust_9,clust_6,0.0,0.08836402754398658,0.0
424790,clust_3,clust_7,0.0,0.07369252505782549,0.0
285818,clust_7,clust_9,0.0,0.06307501560130387,0.0
207565,clust_3,clust_2,0.0,0.07914827612476982,0.0
174387,clust_8,clust_8,0.0,0.2878462417837609,1.0
342435,clust_7,clust_4,0.0,0.05291710056603255,0.0
139852,clust_7,clust_1,1.0,0.2704444890183822,1.0
107138,clust_9,clust_2,1.0,0.4198911052659422,1.0
377284,clust_9,clust_4,0.0,0.10396216923329209,0.0
197143,clust_9,clust_8,0.0,0.31961035998401766,1.0
275014,clust_9,clust_0,0.0,0.02392802644221205,0.0
285837,clust_7,clust_4,0.0,0.28363756585961225,1.0
162339,clust_3,clust_8,0.0,0.05214076591916093,0.0
246096,clust_2,clust_7,0.0,0.08413635709809636,0.0
231473,clust_7,clust_2,0.0,0.2273083043657154,1.0
185572,clust_9,clust_7,0.0,0.5061744981339094,1.0
234845,clust_9,clust_9,1.0,0.2818515996978344,1.0
259102,clust_9,clust_0,0.0,0.25491695087856836,1.0
422930,clust_7,clust_9,0.0,0.06988241781134893,0.0
241131,clust_2,clust_0,0.0,0.05364108490820113,0.0
154371,clust_9,clust_4,0.0,0.03924548065798919,0.0
267993,clust_9,clust_4,0.0,0.10702438782810461,0.0
445221,clust_3,clust_1,0.0,0.0456937594050506,0.0
103944,clust_9,clust_8,0.0,0.034798550374860265,0.0
110256,clust_9,clust_9,0.0,0.17015582835739312,1.0
260045,clust_9,clust_2,0.0,0.18245234353049947,1.0
119529,clust_8,clust_2,0.0,0.09135528368196176,0.0
188665,clust_9,clust_2,0.0,0.16190859661328955,1.0
272071,clust_9,clust_2,0.0,0.05487810329099692,0.0
264652,clust_9,clust_0,0.0,0.07627106861297463,0.0
437523,clust_3,clust_4,0.0,0.035703486809030155,0.0
262889,clust_9,clust_0,0.0,0.2567751926683872,1.0
456000,clust_9,clust_8,1.0,0.3169744188514632,1.0
442950,clust_7,clust_5,0.0,0.08007206080681155,0.0
322009,clust_9,clust_0,0.0,0.08596514395027528,0.0
307034,clust_9,clust_4,0.0,0.05161000627161401,0.0
273232,clust_7,clust_4,0.0,0.17009045915763443,1.0
448408,clust_9,clust_0,0.0,0.030042191743687986,0.0
126789,clust_9,clust_8,1.0,0.2680088699662341,1.0
138071,clust_3,clust_5,0.0,0.07704126541830278,0.0
197774,clust_2,clust_8,0.0,0.06622677366792243,0.0
423573,clust_0,clust_4,0.0,0.1495456322550481,0.0
158378,clust_7,clust_4,1.0,0.44378518396969013,1.0
258301,clust_3,clust_4,0.0,0.04110373936458433,0.0
237693,clust_9,clust_4,1.0,0.3315200050747466,1.0
386241,clust_9,clust_4,0.0,0.13153612601112968,0.0
138003,clust_7,clust_9,1.0,0.19962471111772637,1.0
382774,clust_9,clust_0,0.0,0.08211630175607734,0.0
193237,clust_7,clust_0,0.0,0.13666802693126195,0.0
315605,clust_9,clust_4,0.0,0.09614754343119718,0.0
117658,clust_9,clust_7,0.0,0.03523586732556648,0.0
151470,clust_9,clust_8,1.0,0.1438055016900457,0.0
229981,clust_9,clust_8,0.0,0.09009383474278627,0.0
222667,clust_9,clust_4,0.0,0.042691163169824985,0.0
214817,clust_9,clust_7,0.0,0.007566049974688337,0.0
418038,clust_2,clust_2,0.0,0.08516782400389303,0.0
229011,clust_9,clust_9,0.0,0.1734445557334173,1.0
130430,clust_9,clust_8,0.0,0.06009224823405491,0.0
446347,clust_9,clust_2,0.0,0.023551410873880376,0.0
327534,clust_0,clust_7,0.0,0.06577381236021979,0.0
211588,clust_2,clust_6,0.0,0.0709814149358017,0.0
159511,clust_9,clust_1,0.0,0.02883524120619283,0.0
266617,clust_7,clust_0,0.0,0.006845746001836991,0.0
415774,clust_9,clust_5,0.0,0.07772023840921441,0.0
305605,clust_9,clust_0,0.0,0.03308624052703339,0.0
229169,clust_9,clust_2,0.0,0.06220656677742999,0.0
306089,clust_9,clust_0,0.0,0.04419361125227242,0.0
262662,clust_2,clust_0,0.0,0.11319235209765473,0.0
329967,clust_8,clust_4,1.0,0.18382517681229232,1.0
201111,clust_9,clust_8,0.0,0.11321003512873459,0.0
178228,clust_3,clust_4,0.0,0.06852153214224223,0.0
373872,clust_9,clust_6,0.0,0.0344741208618051,0.0
326936,clust_7,clust_5,0.0,0.05159744727979785,0.0
122972,clust_9,clust_8,0.0,0.28089880636200687,1.0
344587,clust_8,clust_4,0.0,0.07429579098236479,0.0
405286,clust_9,clust_1,0.0,0.10569217051278136,0.0
398059,clust_9,clust_8,0.0,0.3509898365895137,1.0
129724,clust_7,clust_9,0.0,0.6362383661289939,1.0
236889,clust_9,clust_2,0.0,0.38079251320664514,1.0
116280,clust_9,clust_8,0.0,0.06002569094910357,0.0
373034,clust_7,clust_2,0.0,0.011657507717849364,0.0
301315,clust_9,clust_8,0.0,0.03305378028013623,0.0
252341,clust_9,clust_9,0.0,0.1067439215661316,0.0
100155,clust_9,clust_4,0.0,0.14321415069231833,0.0
312630,clust_7,clust_8,1.0,0.4888303695950752,1.0
387015,clust_7,clust_2,0.0,0.15793342245670214,0.0
420717,clust_3,clust_0,0.0,0.028731823121033406,0.0
380187,clust_9,clust_8,0.0,0.2393533944956051,1.0
191925,clust_7,clust_4,0.0,0.06138366906895515,0.0
275689,clust_7,clust_7,0.0,0.23589480702855006,1.0
422126,clust_9,clust_8,1.0,0.18100823444172232,1.0
254838,clust_2,clust_8,0.0,0.3685771935883788,1.0
383721,clust_3,clust_8,0.0,0.1372097373799756,0.0
362716,clust_3,clust_1,0.0,0.14198644552860884,0.0
273641,clust_7,clust_4,0.0,0.0276618942076662,0.0
