OCCUPATION_TYPE_IT staff,NAME_FAMILY_STATUS_Unknown,OCCUPATION_TYPE_Secretaries,OCCUPATION_TYPE_Low-skill Laborers,ACTIVE_DAYS_CREDIT_ENDDATE_MAX,CNT_CHILDREN,AMT_GOODS_PRICE,NAME_FAMILY_STATUS_Married,OCCUPATION_TYPE_High skill tech staff,HOUR_APPR_PROCESS_START,OCCUPATION_TYPE_Medicine staff,OCCUPATION_TYPE_Security staff,NAME_EDUCATION_TYPE_Higher education,AMT_ANNUITY,OCCUPATION_TYPE_Core staff,PREV_DAYS_DECISION_MEAN,PREV_NAME_TYPE_SUITE_Unaccompanied_MEAN,INSTAL_DBD_MAX,EXT_SOURCE_1,OCCUPATION_TYPE_Managers,NAME_FAMILY_STATUS_Widow,DAYS_ID_PUBLISH,APPROVED_AMT_ANNUITY_MEAN,OCCUPATION_TYPE_Private service staff,APPROVED_CNT_PAYMENT_SUM,AMT_INCOME_TOTAL,NAME_EDUCATION_TYPE_Lower secondary,CLOSED_DAYS_CREDIT_MAX,PREV_DAYS_DECISION_MIN,APPROVED_DAYS_DECISION_MAX,DAYS_BIRTH,BURO_DAYS_CREDIT_ENDDATE_MAX,BURO_DAYS_CREDIT_MIN,ACTIVE_DAYS_CREDIT_MAX,NAME_EDUCATION_TYPE_Secondary / secondary special,INSTAL_AMT_PAYMENT_MEAN,NAME_FAMILY_STATUS_Single / not married,PREV_DAYS_DECISION_MAX,BURO_DAYS_CREDIT_UPDATE_MEAN,INSTAL_DBD_SUM,INSTAL_PAYMENT_PERC_SUM,NAME_FAMILY_STATUS_Civil marriage,POS_MONTHS_BALANCE_MEAN,NAME_EDUCATION_TYPE_Academic degree,ACTIVE_DAYS_CREDIT_ENDDATE_MIN,INSTAL_DAYS_ENTRY_PAYMENT_MAX,OCCUPATION_TYPE_Cooking staff,OCCUPATION_TYPE_Waiters/barmen staff,EXT_SOURCE_2,CLOSED_DAYS_CREDIT_ENDDATE_MEAN,CODE_GENDER,OCCUPATION_TYPE_Laborers,OCCUPATION_TYPE_Realty agents,DAYS_REGISTRATION,BURO_AMT_CREDIT_SUM_MEAN,INSTAL_AMT_PAYMENT_MIN,NAME_EDUCATION_TYPE_Incomplete higher,AMT_CREDIT,INCOME_CREDIT_PERC,OCCUPATION_TYPE_Cleaning staff,PREV_APP_CREDIT_PERC_MEAN,EXT_SOURCE_3,APPROVED_CNT_PAYMENT_MEAN,PAYMENT_RATE,CLOSED_DAYS_CREDIT_UPDATE_MEAN,INSTAL_DBD_MEAN,OCCUPATION_TYPE_Drivers,PREV_AMT_ANNUITY_MEAN,OCCUPATION_TYPE_Sales staff,REGION_POPULATION_RELATIVE,NAME_FAMILY_STATUS_Separated,OCCUPATION_TYPE_HR staff,DAYS_LAST_PHONE_CHANGE,ANNUITY_INCOME_PERC,ACTIVE_DAYS_CREDIT_MIN,BURO_DAYS_CREDIT_MEAN,OCCUPATION_TYPE_Accountants,APPROVED_AMT_CREDIT_MAX,DAYS_EMPLOYED,ACTIVE_DAYS_CREDIT_UPDATE_MEAN,CLOSED_DAYS_CREDIT_ENDDATE_MAX,APPROVED_AMT_ANNUITY_MAX
0.0,0.0,0.0,0.0,30911.0,0.0,643500.0,1.0,0.0,8.0,0.0,0.0,0.0,56340.0,0.0,-320.25,0.0,24.0,0.3776684,0.0,0.0,-825.0,9939.3,0.0,22.0,135000.0,0.0,-284.0,-403.0,-124.0,-17275.0,280.0,-1494.0,-1271.0,1.0,10482.201,0.0,-124.0,-542.05884,177.0,16.0,0.0,-6.8333335,0.0,-2.0,-4.0,1.0,0.0,0.6985864,-565.875,0.0,0.0,0.0,-110.0,72970.586,4246.2,0.0,711454.5,0.18975212,0.0,1.0,0.367291,7.3333335,0.07918988,-572.8125,11.0625,0.0,9939.3,0.0,0.003813,0.0,0.0,-403.0,0.41733333,-1271.0,-862.8823,0.0,97155.0,-537.0,-50.0,280.0,19977.03
0.0,0.0,0.0,0.0,6929.0,4.0,247500.0,1.0,0.0,11.0,1.0,0.0,0.0,15768.0,0.0,-801.75,0.25,26.0,0.3776684,0.0,0.0,-2506.0,9817.02,0.0,30.0,157500.0,0.0,-218.0,-1313.0,-622.0,-14924.0,30879.0,-2745.0,-376.0,1.0,28426.018,0.0,-219.0,-910.8571,152.0,11.0,0.0,-32.8,0.0,776.0,-547.0,0.0,0.0,0.5925804,1290.5834,1.0,0.0,0.0,-4332.0,229897.31,12868.785,0.0,306306.0,0.5141917,0.0,1.1948456,0.52449644,10.0,0.051477935,-1021.1667,13.818182,0.0,9817.02,0.0,0.008625,0.0,0.0,-219.0,0.100114286,-552.0,-1547.0714,0.0,132610.5,-3241.0,-249.0,30879.0,13324.725
0.0,0.0,0.0,0.0,181.0,0.0,540000.0,1.0,0.0,12.0,0.0,0.0,0.0,40689.0,1.0,-505.6,0.0,30.0,0.48682395,0.0,0.0,-141.0,38239.367,0.0,40.0,225000.0,0.0,-2545.0,-923.0,-242.0,-16592.0,30876.0,-2582.0,-60.0,1.0,25315.076,0.0,-242.0,-978.25,246.0,43.005997,0.0,-16.25641,0.0,181.0,-15.0,0.0,0.0,0.6542801,8694.0,1.0,0.0,0.0,-2634.0,94493.25,745.335,0.0,582768.0,0.38608846,0.0,0.9669103,0.73381454,10.0,0.06982024,-1299.3334,6.0,0.0,38239.367,0.0,0.019101,0.0,0.0,-923.0,0.18084,-60.0,-1942.0,0.0,900000.0,-1964.0,-15.0,30876.0,84137.086
0.0,0.0,0.0,0.0,941.0,0.0,238500.0,0.0,0.0,15.0,0.0,0.0,1.0,17307.0,0.0,-683.25,0.25,43.0,0.3776684,0.0,0.0,-4544.0,15108.225,0.0,72.0,121500.0,0.0,-1619.0,-1009.0,-479.0,-23392.0,941.0,-1874.0,-402.0,0.0,22316.895,0.0,-479.0,-693.4,343.0,21.0,1.0,-23.2,0.0,329.0,-401.0,0.0,0.0,0.75027883,-1471.6666,1.0,0.0,0.0,-5217.0,159634.8,10492.2,0.0,301464.0,0.4030332,0.0,0.92853045,0.3893388,24.0,0.05740984,-1095.6666,16.333334,0.0,15108.225,0.0,0.00823,0.0,0.0,-1009.0,0.14244445,-402.0,-1183.4,0.0,512370.0,-1646.0,-90.0,-1408.0,19516.186
0.0,0.0,0.0,0.0,102.0,0.0,135000.0,0.0,0.0,9.0,0.0,0.0,0.0,11893.5,0.0,-966.63635,0.36363637,49.0,0.3776684,0.0,1.0,-4649.0,7678.44,0.0,96.0,121500.0,0.0,-33.0,-2732.0,-139.0,-23630.0,1116.0,-685.0,-15.0,1.0,5314.8286,0.0,-139.0,-126.8,602.0,69.0,0.0,-50.706665,0.0,1.0,-28.0,0.0,0.0,0.19947673,219.66667,1.0,0.0,0.0,-10410.0,64890.0,37.44,0.0,148365.0,0.8189263,0.0,1.0347632,0.5226973,13.714286,0.080163784,-205.66667,7.525,0.0,7678.44,0.0,0.019689,0.0,0.0,-139.0,0.09788889,-444.0,-304.4,0.0,472500.0,-1119.0,-8.5,1116.0,22731.975
0.0,0.0,0.0,0.0,-405.0,1.0,697500.0,1.0,0.0,11.0,0.0,0.0,1.0,33777.0,1.0,-1031.8334,0.33333334,43.0,0.3776684,0.0,0.0,-2648.0,15827.49,0.0,126.0,135000.0,0.0,-341.0,-1787.0,-526.0,-19121.0,26.0,-2779.0,-435.0,0.0,16057.288,0.0,-526.0,-1066.125,1006.0,106.0,0.0,-27.633028,0.0,-405.0,-59.0,0.0,0.0,0.5603074,-1881.2858,0.0,0.0,0.0,-5433.0,69287.96,600.93,0.0,794173.5,0.16998805,0.0,0.93419075,0.42765737,25.2,0.04253101,-1204.2858,8.824561,0.0,15827.49,0.0,0.018029,0.0,0.0,-1787.0,0.2502,-435.0,-1923.5,0.0,518562.0,-4463.0,-99.0,26.0,26197.47
0.0,0.0,0.0,0.0,1173.0,0.0,675000.0,1.0,0.0,10.0,1.0,0.0,0.0,43335.0,0.0,-890.5,0.6875,40.0,0.7710549,0.0,0.0,-999.0,27700.688,0.0,114.0,360000.0,0.0,-919.0,-2758.0,-914.0,-17467.0,1173.0,-1672.0,-653.0,1.0,43155.31,0.0,-178.0,-494.0,1020.0,90.0,0.0,-35.31915,0.0,525.0,-174.0,0.0,0.0,0.47312522,-479.0,1.0,0.0,0.0,-6618.0,753649.06,8316.9,0.0,848745.0,0.42415565,0.0,0.9086345,0.6109913,19.0,0.051057737,-588.75,11.333333,0.0,25802.982,0.0,0.007274,0.0,0.0,-178.0,0.120375,-1657.0,-1274.5714,0.0,1285569.0,-1939.0,-18.5,83.0,71916.66
0.0,0.0,0.0,0.0,30911.0,0.0,247500.0,0.0,0.0,16.0,0.0,0.0,0.0,33381.0,0.0,-536.5,0.5,33.0,0.14380924,0.0,0.0,-1399.0,15772.117,0.0,24.0,112500.0,0.0,-574.0,-694.0,-379.0,-8736.0,30908.0,-2850.0,-182.0,1.0,13480.203,1.0,-379.0,-14.0,441.0,23.0,0.0,-12.5,0.0,-2.0,-20.0,0.0,0.0,0.5283283,-999.0,0.0,1.0,0.0,-5132.0,0.0,53.775,0.0,280170.0,0.40154192,0.0,0.96298283,0.7062051,12.0,0.11914552,-18.0,15.75,0.0,15772.117,0.0,0.006008,0.0,0.0,-694.0,0.29672,-727.0,-911.0,0.0,219874.5,-922.0,-18.0,-182.0,21550.68
0.0,0.0,0.0,0.0,30911.0,0.0,252000.0,1.0,0.0,16.0,0.0,0.0,0.0,23490.0,1.0,-1124.5,0.0,17.0,0.49884707,0.0,0.0,-79.0,6127.83,0.0,20.0,112500.0,0.0,-2206.0,-2060.0,-189.0,-16551.0,-699.0,-2206.0,-182.0,1.0,6227.109,0.0,-189.0,-686.0,130.0,15.0,0.0,-39.8,0.0,-2.0,-9.0,0.0,0.0,0.72521734,-699.0,1.0,0.0,0.0,-3582.0,675000.0,159.795,0.0,301896.0,0.37264487,0.0,1.2063009,0.7862666,10.0,0.07780825,-686.0,8.666667,0.0,6127.83,0.0,0.035792,0.0,0.0,-2060.0,0.2088,-727.0,-2206.0,0.0,76590.0,-3813.0,-18.0,-699.0,7783.38
0.0,0.0,0.0,0.0,1046.0,0.0,148500.0,1.0,1.0,11.0,0.0,0.0,1.0,16983.0,0.0,-699.0,0.0,13.0,0.2266726,0.0,0.0,-2075.0,7937.4375,0.0,24.0,90000.0,0.0,-574.0,-699.0,-699.0,-9383.0,1046.0,-324.0,-324.0,0.0,22659.84,0.0,-699.0,-15.0,46.0,4.0,0.0,-21.0,0.0,1046.0,-589.0,0.0,0.0,0.049739853,-999.0,1.0,0.0,0.0,-6072.0,486000.0,7733.745,0.0,183784.5,0.48970398,0.0,0.904491,0.7062051,12.0,0.09240714,-18.0,11.5,0.0,7937.4375,0.0,0.020246,0.0,0.0,0.0,0.1887,-324.0,-324.0,0.0,92808.0,-778.0,-15.0,-182.0,8141.13
